id_soal,soal,pilihan1,pilihan2,pilihan3,.
1,"Ketika saya mengoperasikan peralatan baru, pada umumnya saya:",membaca instruksinya lebih dulu.,mendengarkan penjelasan dari seseorang yang pernah menggunakan peralatan tersebut.,"menggunakan peralatan tersebut, saya akan mampu mengetahuinya selagi menggunakannya.",.
2,"Ketika saya perlu petunjuk untuk bepergian, saya biasanya:",melihat peta., bertanya denah/arah ke orang lain.,mengikuti naluri dan mungkin menggunakan kompas,.
3,"Ketika saya memasak masakan baru, saya biasanya melakukan:",mengikuti petunjuk resep tertulis.,menelepon seorang teman untuk mendapatkan penjelasan.,"mengikuti naluri, mencoba seperti biasanya saya memasak",.
4,"Jika saya mengajar seseorang tentang sesuatu yang baru, saya cenderung untuk:",menulis instruksi bagi mereka.,memberi penjelasan secara lisan kepada mereka.,mendemonstrasikan terlebih dahulu dan kemudian membiarkan mereka berlanjut,.
5,Saya cenderung mengatakan:,lihat bagaimana saya melakukannya.,dengarkan saya menjelaskan.,lakukanlah sendiri,.
6,"Selama waktu senggang, saya paling menikmati saat:",pergi ke museum dan galeri.,mendengarkan musik dan bincang-bincang dengan teman-teman saya,bermain olahraga atau melakukan hal yang bisa saya lakukan.,.
7,"Ketika saya pergi berbelanja pakaian, saya cenderung untuk:",membayangkan apakah pakaian tersebut sesuai bagi saya.,mendiskusikannya dengan karyawan toko,mencoba pakaian dan melihat kesesuaiannya.,.
8,"Bila saya memilih liburan, saya biasanya:",membaca banyak brosur,meminta rekomendasi dari teman-teman.,membayangkan akan seperti apa jika berada di sana,.
9,"Jika saya membeli mobil baru, saya akan:",membaca ulasan di koran dan majalah.,membahas apa yang saya butuhkan dengan teman-teman.,melakukan test-drive banyak jenis.,.
10,"Ketika saya sedang belajar keterampilan baru, saya paling nyaman:",melihat apa yang pengajar lakukan.,menanyakan ke pengajar tentang apa yang seharusnya saya lakukan,mencobanya dan menemukan sendiri ketika saya mempelajarinya.,.
11,"Jika saya memilih makanan pada daftar menu, saya cenderung untuk",membayangkan makanan akan seperti apa.,memikirkannya sendiri atau membicarakannya dengan pasangan saya.,membayangkan makanan akan terasa seperti apa.,.
