id_soal,soal,pilihan1,pilihan2,pilihan3,pilihan4
1,k1.png,Senang berbicara,"Cendrung menganalisa , memikirkan dan  mempertimbangakan",Senang dengan tantangan,Pendengar yang baik
2,k2.png,Suka menolong orang lain,Menyukai fakta-fakta,Suka petualangan,Cendrung diam
3,k3.png,Emosian dan terbuka,"Introvert, pemikir dan pesimis","Tegas ,kuat,cepat dan tangkas",Mau merugi agar masalah tidak berkepanjangan
4,k4.png,Tidak bisa dijadikan sebagai sandaran,Mendominasi pembicaraan,Suka mengatur,kalem
5,k5.png,Mudah berubah mood,Segala sesuatu ingin teratur,Tidak punya banyak teman,Suka menunda dalam mengambil keputusan
6,k6.png,Sedikit pelupa,"Teratur, rapi, terjadwal, tersusun sesuai pola",Tidak mau kalah,Kurang teratur dan serba dingin
7,k7.png,Sulit berkonsentrasi,Ingin selalu sempurna,Suka memerintah,Sangat memerlukan perubahan
8,k8.png,Kurang disiplin waktu,Disiplin waktu,Tidak ada istilah tidak mungkin,Kurang bersemangat
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
